,Unnamed: 0,filepath,nameLabel,label,Classe
0,0,archive/New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/test/AppleScab3.JPG,AppleScab3.JPG,25,Apple___Apple_scab
1,1,archive/New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/test/TomatoEarlyBlight2.JPG,TomatoEarlyBlight2.JPG,8,Tomato___Late_blight
2,2,archive/New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/test/TomatoEarlyBlight3.JPG,TomatoEarlyBlight3.JPG,5,Tomato___Target_Spot
3,3,archive/New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/test/PotatoHealthy1.JPG,PotatoHealthy1.JPG,36,Potato___healthy
4,4,archive/New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/test/AppleScab2.JPG,AppleScab2.JPG,25,Apple___Apple_scab
5,5,archive/New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/test/TomatoEarlyBlight1.JPG,TomatoEarlyBlight1.JPG,8,Tomato___Late_blight
6,6,archive/New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/test/PotatoHealthy2.JPG,PotatoHealthy2.JPG,36,Potato___healthy
7,7,archive/New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/test/AppleScab1.JPG,AppleScab1.JPG,25,Apple___Apple_scab
8,8,archive/New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/test/TomatoEarlyBlight4.JPG,TomatoEarlyBlight4.JPG,18,Tomato___Early_blight
9,9,archive/New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/test/TomatoEarlyBlight5.JPG,TomatoEarlyBlight5.JPG,18,Tomato___Early_blight
10,10,archive/New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/test/TomatoEarlyBlight6.JPG,TomatoEarlyBlight6.JPG,18,Tomato___Early_blight
11,11,archive/New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/test/PotatoEarlyBlight4.JPG,PotatoEarlyBlight4.JPG,2,Potato___Early_blight
12,12,archive/New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/test/PotatoEarlyBlight5.JPG,PotatoEarlyBlight5.JPG,2,Potato___Early_blight
13,13,archive/New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/test/PotatoEarlyBlight2.JPG,PotatoEarlyBlight2.JPG,2,Potato___Early_blight
14,14,archive/New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/test/PotatoEarlyBlight3.JPG,PotatoEarlyBlight3.JPG,7,Potato___Late_blight
15,15,archive/New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/test/PotatoEarlyBlight1.JPG,PotatoEarlyBlight1.JPG,2,Potato___Early_blight
16,16,archive/New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/test/TomatoYellowCurlVirus2.JPG,TomatoYellowCurlVirus2.JPG,24,Tomato___Tomato_Yellow_Leaf_Curl_Virus
17,17,archive/New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/test/TomatoYellowCurlVirus3.JPG,TomatoYellowCurlVirus3.JPG,24,Tomato___Tomato_Yellow_Leaf_Curl_Virus
18,18,archive/New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/test/TomatoYellowCurlVirus1.JPG,TomatoYellowCurlVirus1.JPG,24,Tomato___Tomato_Yellow_Leaf_Curl_Virus
19,19,archive/New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/test/TomatoHealthy4.JPG,TomatoHealthy4.JPG,8,Tomato___Late_blight
20,20,archive/New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/test/TomatoYellowCurlVirus4.JPG,TomatoYellowCurlVirus4.JPG,24,Tomato___Tomato_Yellow_Leaf_Curl_Virus
21,21,archive/New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/test/TomatoHealthy1.JPG,TomatoHealthy1.JPG,22,Tomato___healthy
22,22,archive/New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/test/TomatoYellowCurlVirus5.JPG,TomatoYellowCurlVirus5.JPG,24,Tomato___Tomato_Yellow_Leaf_Curl_Virus
23,23,archive/New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/test/TomatoHealthy3.JPG,TomatoHealthy3.JPG,22,Tomato___healthy
24,24,archive/New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/test/TomatoHealthy2.JPG,TomatoHealthy2.JPG,22,Tomato___healthy
25,25,archive/New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/test/TomatoYellowCurlVirus6.JPG,TomatoYellowCurlVirus6.JPG,24,Tomato___Tomato_Yellow_Leaf_Curl_Virus
26,26,archive/New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/test/AppleCedarRust2.JPG,AppleCedarRust2.JPG,15,Apple___Cedar_apple_rust
27,27,archive/New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/test/CornCommonRust1.JPG,CornCommonRust1.JPG,19,Corn_(maize)___Common_rust_
28,28,archive/New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/test/AppleCedarRust3.JPG,AppleCedarRust3.JPG,15,Apple___Cedar_apple_rust
29,29,archive/New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/test/AppleCedarRust1.JPG,AppleCedarRust1.JPG,15,Apple___Cedar_apple_rust
30,30,archive/New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/test/CornCommonRust2.JPG,CornCommonRust2.JPG,19,Corn_(maize)___Common_rust_
31,31,archive/New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/test/CornCommonRust3.JPG,CornCommonRust3.JPG,19,Corn_(maize)___Common_rust_
32,32,archive/New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/test/AppleCedarRust4.JPG,AppleCedarRust4.JPG,15,Apple___Cedar_apple_rust
